lon,lat,species
121.157942,52.959331,杜香
121.30875,52.924331,杜香
122.05236100000002,52.356528,杜香
121.99889700000001,52.347389,杜香
122.058753,52.349583,杜香
122.074861,52.340997,杜香
122.00015,52.332103,杜香
122.027083,52.311156,杜香
122.307517,52.314753,杜香
122.193667,52.283958,杜香
121.797083,52.282936,杜香
122.11375000000001,52.280417,杜香
122.19858099999999,52.282731000000005,杜香
121.755697,52.247917,杜香
122.04927,52.24662,杜香
122.62028099999999,52.244944,杜香
121.900694,52.237639,杜香
122.43630600000002,52.23587200000001,杜香
122.63099700000001,52.23847200000001,杜香
122.67298600000001,52.23350000000001,杜香
121.77710000000002,52.232710999999995,杜香
121.87347200000002,52.228753,杜香
122.44624999999999,52.226269,杜香
122.6207,52.23125600000001,杜香
121.9296,52.209317,杜香
121.768497,52.200972,杜香
121.86043600000002,52.202919,杜香
122.1352988,52.207969999999996,杜香
122.268995,52.20821000000001,杜香
122.29116,52.20058,杜香
122.40425,52.20335800000001,杜香
122.14835999999998,52.19899,杜香
122.16799,52.19452,杜香
121.47683100000002,52.186806,杜香
121.70430600000002,52.190158,杜香
121.91486100000002,52.190694,杜香
122.765442,52.188494,杜香
122.10391,52.17538,杜香
122.687639,52.183194,杜香
122.704028,52.183211,杜香
122.75741100000002,52.183078,杜香
122.17106,52.17337,杜香
122.19095,52.17029,杜香
122.08725000000001,52.16364,杜香
121.399039,52.148472,杜香
121.517639,52.144867,杜香
122.07352000000002,52.14262000000001,杜香
121.382083,52.13793600000001,杜香
121.601531,52.135972,杜香
121.61320599999999,52.13069399999999,杜香
122.17781999999998,52.11943000000001,杜香
121.573194,52.111275,杜香
122.138125,52.110274,杜香
121.88763900000001,52.10319400000001,杜香
121.359053,52.09071900000001,杜香
121.94530000000002,52.089569999999995,杜香
121.629325,52.079325000000004,杜香
121.818472,52.079878,杜香
121.82430600000001,52.069860999999996,杜香
122.1227,52.06143000000001,杜香
122.00892,52.052600000000005,杜香
122.09471,52.05693,杜香
121.233194,52.034044,杜香
122.01487000000002,52.03515000000001,杜香
122.63320600000002,52.041275,杜香
122.10564999999998,52.03067000000001,杜香
122.12694,52.02558,杜香
121.43321899999998,52.012642,杜香
121.856267,52.01459400000001,杜香
121.89136,52.01496999999999,杜香
121.93814999999998,52.01329,杜香
122.15334000000001,52.01187,杜香
121.22708299999998,52.007386,杜香
121.92766,52.00807,杜香
122.17232,52.00451,杜香
122.19014,51.99729,杜香
121.84961000000001,51.98753,杜香
121.91163,51.97914,杜香
121.96674,51.97513000000001,杜香
121.99792,51.96804,杜香
122.02228999999998,51.97448000000001,杜香
122.608769,51.954039,杜香
121.334497,51.945989,杜香
121.384028,51.94069399999999,杜香
121.219325,51.923472,杜香
122.35903899999998,51.919039,杜香
121.33253099999999,51.90541699999999,杜香
122.458767,51.894047,杜香
121.76042,51.88658,杜香
121.80360000000002,51.88966,杜香
121.81125000000002,51.87705,杜香
122.223897,51.86862800000001,杜香
121.34458300000001,51.831547,杜香
121.68919,51.82299,杜香
121.00395,51.80544,杜香
121.74090000000001,51.8045,杜香
121.92436,51.79187,杜香
121.86759000000002,51.78996999999999,杜香
121.90734699999999,51.77815,杜香
121.90875,51.779325,杜香
121.60764200000001,51.768214,杜香
121.96849700000001,51.772936,杜香
