rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
0.5,L,rm.0.5_fc.L,0.7891626666666667,0.93,0.11618527907437429,0.04326922157371107,0.7727587436862613,0.1039336929149283,0.68925,0.22461429904022884,0.17834281650071124,0.1535695400480927,0.013157894736842105,0.02631578947368421,3214.3822907447284,46.910765204313975,6.508116250579694e-11,9
1,L,rm.1_fc.L,0.788416,0.917,0.11662771526586507,0.04019751743746788,0.7758072292314349,0.1030105965409313,0.6835,0.14999888888477364,0.1717638691322902,0.1445119664406307,0.013157894736842105,0.02631578947368421,3217.0265986598547,49.555073119440294,1.7348068722064474e-11,10
1.5,L,rm.1.5_fc.L,0.7875126666666666,0.913,0.11514224156297945,0.03965468231121913,0.7788871065749364,0.10135785102791396,0.6935,0.1362852400910189,0.16518492176386912,0.1361252131175736,0.013157894736842105,0.02631578947368421,3217.6257598754732,50.154234335058845,1.2857156463396295e-11,10
2,L,rm.2_fc.L,0.7867333333333333,0.917,0.11716847887546569,0.04151683675127832,0.7795047351158042,0.10267195512560309,0.68675,0.1391339282849442,0.16518492176386912,0.1361252131175736,0.013157894736842105,0.02631578947368421,3218.360684730087,50.88915918967268,8.903443858021646e-12,10
2.5,L,rm.2.5_fc.L,0.7859606666666666,0.92,0.11940710377140232,0.043315288763945796,0.7795085532231758,0.10414989622176404,0.70025,0.13255533435764347,0.15842816500711238,0.140503023991106,0.013157894736842105,0.02631578947368421,3219.263058640391,51.79153309997673,5.670352000783357e-12,10
3,L,rm.3_fc.L,0.7851626666666667,0.916,0.12162374481633759,0.04514378964395811,0.7792915930105194,0.1056612192819919,0.72125,0.1331800160184202,0.15184921763869133,0.1344502371328596,0.013157894736842105,0.02631578947368421,3220.25982059555,52.78829505513568,3.444815060258174e-12,10
3.5,L,rm.3.5_fc.L,0.784864,0.917,0.12158666560643058,0.04498789922093347,0.7791557884357634,0.10570958819595216,0.7205,0.11902520741422802,0.15184921763869133,0.1344502371328596,0.013157894736842105,0.02631578947368421,3214.1128160198537,46.64129047943925,7.446822373487689e-11,7
4,L,rm.4_fc.L,0.7848986666666666,0.908,0.12021229490352758,0.04409560554399734,0.7796441318354085,0.10462840913033117,0.7030000000000001,0.1502087436425279,0.15184921763869133,0.1344502371328596,0.006578947368421052,0.013157894736842105,3214.488833452158,47.0173079117435,6.170492757633318e-11,7
0.5,LQ,rm.0.5_fc.LQ,0.80574,0.945,0.11836483344152826,0.06966751379945559,0.7726643141752534,0.11302600082173393,0.683,0.17381024135533557,0.15807254623044098,0.18341323548928587,0.019736842105263157,0.039473684210526314,3209.883558996363,42.412033455948404,6.170814464063796e-10,14
1,LQ,rm.1_fc.LQ,0.8025893333333334,0.934,0.10921340208860209,0.05537661779959841,0.7742856555558353,0.10311420524270282,0.70175,0.20866620074495373,0.17834281650071124,0.15946888630360298,0.013157894736842105,0.02631578947368421,3210.5094778108823,43.03795227046794,4.5125907120301823e-10,13
