"source","df","SS","F_value","p_value","pct_variance"
"species_cn",5,208453.587240685,161.823020847838,1.83034237271881e-15,78.8058484391486
"scenario",2,3621.07751133013,7.02762794063882,0.00488043438985667,1.36894782825112
"gcm",2,642.763080700291,1.24744631149339,0.308646042079631,0.242996489484548
"species_cn:scenario",10,10289.7744030729,3.99398830163912,0.0040732436575182,3.89004772148784
"species_cn:gcm",10,33964.1509983212,13.1832260308728,9.46075112538989e-07,12.840142361511
"scenario:gcm",4,2391.39273069503,2.32055490647308,0.0921270992156238,0.904065675185713
"Residuals",20,5152.63121769786,NA,NA,1.94795148493118
