species_cn,species_code,scenario,scenario_label,gcm,current_area_km2,future_area_km2,delta_km2,pct_change,lost_km2,stable_km2,gained_km2,unfilling_pct,stability_pct,expansion_pct
偃松,yangsong,ssp126,SSP1-2.6,BCC-CSM2-MR,29084.923129600484,62682.66337921434,33597.74024961385,115.51600153765082,1720.2736852290157,27364.649444371054,35318.01393482939,5.9146578368579155,94.08534216314067,121.43065937446238
偃松,yangsong,ssp126,SSP1-2.6,MIROC6,29084.923129600484,41731.53182527688,12646.608695676394,43.48166450130862,1.1685336600170135,29083.754595940467,12647.777229327854,0.004017661160079761,99.99598233883992,43.48568216243928
偃松,yangsong,ssp126,SSP1-2.6,IPSL-CM6A-LR,29084.923129600484,61316.886367619714,32231.96323801923,110.82017681255594,0,29084.923129600484,32231.96323800197,0,100,110.82017681249658
偃松,yangsong,ssp245,SSP2-4.5,BCC-CSM2-MR,29084.923129600484,80710.94423067542,51626.02110107493,177.50097145188528,0,29084.923129600484,51626.0211010706,0,100,177.50097145187038
偃松,yangsong,ssp245,SSP2-4.5,MIROC6,29084.923129600484,44054.61713061781,14969.694001017324,51.46891375408957,17.414355116769787,29067.5087744837,14987.108356124074,0.05987416586653015,99.94012583413343,51.52878791992166
偃松,yangsong,ssp245,SSP2-4.5,IPSL-CM6A-LR,29084.923129600484,53027.73994186651,23942.816812266024,82.32037164264943,0,29084.923129600484,23942.81681225339,0,100,82.32037164260599
偃松,yangsong,ssp585,SSP5-8.5,BCC-CSM2-MR,29084.923129600484,87773.54544348507,58688.62231388458,201.78365970703095,0,29084.923129600484,58688.62231387582,0,100,201.78365970700085
偃松,yangsong,ssp585,SSP5-8.5,MIROC6,29084.923129600484,49668.22644326357,20583.303313663087,70.76966723255639,1.1673521501693727,29083.75577745031,20584.47066579747,0.004013598884094446,99.9959864011159,70.77368083138622
偃松,yangsong,ssp585,SSP5-8.5,IPSL-CM6A-LR,29084.923129600484,52991.70784076211,23906.784711161625,82.19648580343356,5.811390684752464,29079.111738915726,23912.596101833144,0.01998076686968466,99.9800192331303,82.21646657025774
杜香,duxiang,ssp126,SSP1-2.6,BCC-CSM2-MR,32938.31789815714,34313.50704406582,1375.1891459086764,4.175043638113702,9008.644710804798,23929.673187349723,10383.83385671094,27.350044828211523,72.64995517178052,31.525088466317534
杜香,duxiang,ssp126,SSP1-2.6,MIROC6,32938.31789815714,34434.09260569504,1495.7747075379011,4.541138719234924,1610.1031227461788,31328.214775410896,3105.8778302835967,4.888237243093285,95.11176275690651,9.429375962326743
杜香,duxiang,ssp126,SSP1-2.6,IPSL-CM6A-LR,32938.31789815714,33162.64132223643,224.3234240792881,0.6810409225294372,2050.8905845788768,30887.42731357785,2275.2140086583186,6.226458166200471,93.77354183379826,6.907499088730375
杜香,duxiang,ssp245,SSP2-4.5,BCC-CSM2-MR,32938.31789815714,18455.28042372879,-14483.03747442835,-43.970179409916554,16737.55648290594,16200.761415245755,2254.519008482321,50.81484893872612,49.18515106125735,6.844669528823932
杜香,duxiang,ssp245,SSP2-4.5,MIROC6,32938.31789815714,33089.76164843239,151.44375027524802,0.459779855011118,2024.3044440541603,30914.013454102667,2175.7481943288312,6.145743235319912,93.85425676467915,6.605523090329278
杜香,duxiang,ssp245,SSP2-4.5,IPSL-CM6A-LR,32938.31789815714,15700.772207469248,-17237.54569068789,-52.33280504482687,17244.41959280808,15693.898305343808,6.8739021254396455,52.35367405866492,47.64632594131913,0.020869013853995963
杜香,duxiang,ssp585,SSP5-8.5,BCC-CSM2-MR,32938.31789815714,5001.701713232388,-27936.61618492475,-84.81494492615779,28098.376093400762,4839.941804755585,161.75990847684466,85.30604440785008,14.693955592147509,0.49109948169482853
杜香,duxiang,ssp585,SSP5-8.5,MIROC6,32938.31789815714,25137.612743998623,-7800.705154158517,-23.682767220468648,8064.849990177358,24873.467907976872,264.1448360214483,24.484705063304332,75.51529493668684,0.8019378428435987
杜香,duxiang,ssp585,SSP5-8.5,IPSL-CM6A-LR,32938.31789815714,2720.814815368287,-30217.503082788855,-91.73966678025015,30217.5030827866,2720.814815368287,0,91.7396667802433,8.260333219749857,0
越桔,yuejv,ssp126,SSP1-2.6,BCC-CSM2-MR,32708.698466085967,5561.292069931771,-27147.406396154198,-82.99751341161435,27221.43075318135,5487.267712901571,74.02435703019621,83.2238273907655,16.77617260922518,0.2263139791604622
越桔,yuejv,ssp126,SSP1-2.6,MIROC6,32708.698466085967,22382.753208051898,-10325.94525803407,-31.56941652307117,10796.522270539477,21912.176195542936,470.57701250926743,33.00810725236853,66.9918927476206,1.4386907293091638
越桔,yuejv,ssp126,SSP1-2.6,IPSL-CM6A-LR,32708.698466085967,23453.126048669397,-9255.57241741657,-28.296975579793294,10278.37615851401,22430.322307568502,1022.8037411009448,31.423983956962243,68.57601604302718,3.1270083771796653
越桔,yuejv,ssp245,SSP2-4.5,BCC-CSM2-MR,32708.698466085967,1087.5214243535518,-31621.177041732415,-96.67513085095347,31621.177041731997,1087.5214243535518,0,96.67513085095217,3.3248691490465414,0
越桔,yuejv,ssp245,SSP2-4.5,MIROC6,32708.698466085967,20396.29459028559,-12312.403875800377,-37.64259800360598,12540.656686974506,20168.04177910715,228.25281117857656,38.3404332030432,61.65956679694361,0.6978351994508146
越桔,yuejv,ssp245,SSP2-4.5,IPSL-CM6A-LR,32708.698466085967,8980.499052258745,-23728.19941382722,-72.54400366443751,23728.199413825663,8980.499052258745,0,72.54400366443275,27.45599633556248,0
越桔,yuejv,ssp585,SSP5-8.5,BCC-CSM2-MR,32708.698466085967,10.941636716057776,-32697.756829369908,-99.96654823570127,32697.756829369875,10.941636716057776,0,99.96654823570117,0.033451764298731174,0
越桔,yuejv,ssp585,SSP5-8.5,MIROC6,32708.698466085967,12082.505707394474,-20626.192758691494,-63.06026753121275,20627.758862390132,12080.939603693227,1.566103701245308,63.06505556550358,36.93494443448845,0.004788034298794016
越桔,yuejv,ssp585,SSP5-8.5,IPSL-CM6A-LR,32708.698466085967,324.2601752920636,-32384.438290793903,-99.00864237802591,32384.438290793623,324.2601752920636,0,99.00864237802506,0.9913576219740842,0
笃斯越桔,dusiyuejv,ssp126,SSP1-2.6,BCC-CSM2-MR,28849.284651815884,32113.966986998097,3264.682335182213,11.316337214540678,4095.305358643588,24753.979293170836,7359.987693826317,14.195517871829843,85.80448212816509,25.51185508637231
笃斯越桔,dusiyuejv,ssp126,SSP1-2.6,MIROC6,28849.284651815884,28500.56910480934,-348.7155470065445,-1.2087493718309408,1437.241429049756,27412.043222766486,1088.5258820425856,4.981896245941372,95.01810375405987,3.7731468741082623
笃斯越桔,dusiyuejv,ssp126,SSP1-2.6,IPSL-CM6A-LR,28849.284651815884,28088.706428543584,-760.5782232722995,-2.6363850350252127,1868.2725020614332,26981.01214975442,1107.694278789192,6.475975139798959,93.52402486020094,3.8395901047739476
笃斯越桔,dusiyuejv,ssp245,SSP2-4.5,BCC-CSM2-MR,28849.284651815884,31371.18898854544,2521.9043367295562,8.74165292889097,3307.109007869531,25542.175643945728,5829.013344598379,11.463400385081538,88.53659961491628,20.205053313970055
