"species_cn","scenario_label","current_km2","lost_km2","stable_km2","gained_km2","unfilling_pct","stability_pct","expansion_pct"
"小黄花菜","SSP1-2.6",20720.5296425207,14320.6548907469,6399.87475177531,10.6608570152318,69.1133631128783,30.886636887129,0.0514506974443093
"小黄花菜","SSP2-4.5",20720.5296425207,14350.9771982412,6369.55244428094,86.403198242371,69.2597025550518,30.740297444955,0.416993193383737
"小黄花菜","SSP5-8.5",20720.5296425207,14101.7924334808,6618.73720904128,483.428551553671,68.0571041221961,31.9428958778106,2.33308974188394
"短瓣金莲花","SSP1-2.6",21478.6737748675,16649.7428871167,4828.93088775182,0.360437303596814,77.5175556071756,22.4824443928294,0.00167811712852852
"短瓣金莲花","SSP2-4.5",21478.6737748675,16483.5024977926,4995.17127707585,18.7522033124056,76.743576770928,23.2564232290765,0.0873061507845415
"短瓣金莲花","SSP5-8.5",21478.6737748675,16505.7109471894,4972.96282767897,16.0249861758687,76.8469744463597,23.1530255536443,0.0746088252181554
"笃斯越桔","SSP1-2.6",28849.2846518159,2466.93976325159,26382.3448885639,3185.40261821936,8.55112975252339,91.4488702474753,11.0415306884182
"笃斯越桔","SSP2-4.5",28849.2846518159,4616.79782294537,24232.48682887,2371.02995609525,16.0031622227928,83.9968377772053,8.21867850351018
"笃斯越桔","SSP5-8.5",28849.2846518159,11977.0574491701,16872.2272026452,357.435706617755,41.5159599058419,58.4840400941559,1.23897597785066
"偃松","SSP1-2.6",29084.9231296005,573.814072963011,28511.1090566373,26732.5848007197,1.97289183267266,98.0271081673269,91.9121727831327
"偃松","SSP2-4.5",29084.9231296005,5.80478503892326,29079.1183445616,30185.3154231494,0.0199580552888434,99.9800419447111,103.783377004799
"偃松","SSP5-8.5",29084.9231296005,2.32624761164061,29082.5968819888,34395.2296938355,0.00799812191792637,99.9920018780821,118.257935702882
"越桔","SSP1-2.6",32708.698466086,16098.7763940783,16609.9220720043,522.468370213469,49.2186395333654,50.7813604666243,1.59733769521643
"越桔","SSP2-4.5",32708.698466086,22630.0110475107,10078.6874185731,76.0842703928589,69.1865225728094,30.8134774271842,0.232611733150272
"越桔","SSP5-8.5",32708.698466086,28569.9846608512,4138.71380523378,0.522034567081769,87.3467487264099,12.6532512735871,0.00159601143293134
"杜香","SSP1-2.6",32938.3178981571,4223.21280604328,28715.1050921128,5254.97523188429,12.8215800791684,87.1784199208284,15.9539878391249
"杜香","SSP2-4.5",32938.3178981571,12002.0935065894,20936.2243915641,1479.04703497886,36.438088744237,63.5619112557519,4.49035387766907
"杜香","SSP5-8.5",32938.3178981571,22126.9097221216,10811.4081760336,141.968248166098,67.1768054171326,32.8231945828614,0.431012441512809
