"species_cn","current_area_km2","ssp126_mean_pct","ssp245_mean_pct","ssp585_mean_pct","overall_mean_pct","overall_sd_pct","n_occ","AUC_cv","TSS_full","Boyce_full","tss_threshold"
"短瓣金莲花",21478.6737748675,-77.515877490042,-76.656270620139,-76.7723656211375,-76.9815045771062,18.8857061669748,647,0.8587,0.5328,0.998,0.42
"越桔",32708.698466086,-47.6213018381596,-68.9539108396657,-87.34515271498,-67.9734551309351,29.369875397955,469,0.7707,0.3747,0.986,0.45
"小黄花菜",20720.5296425207,-69.0619124154267,-68.8427093616616,-65.7240143803057,-67.8762120524647,24.9491711950597,201,0.7968,0.4958,0.972,0.52
"杜香",32938.3178981571,3.13240775995935,-31.9477348665774,-66.7457929756255,-31.8537066940812,38.3234824248222,480,0.797,0.4142,0.997,0.49
"笃斯越桔",28849.2846518159,2.49040093589484,-7.78448371928171,-40.2769839279929,-15.1903555704599,27.3031689341807,474,0.8142,0.4202,0.998,0.52
"偃松",29084.9231296005,89.9392809505051,103.763418949541,118.249937581007,103.984212493685,54.3309376145488,150,0.7942,0.4636,0.953,0.33
