rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
2,LQ,rm.2_fc.LQ,0.8237455223880596,0.952,0.1337337232972245,0.07448417714785979,0.7733626457040474,0.12474389644434822,0.6905,0.3761573252421563,0.25,0.2318045153428495,0.02,0.0282842712474619,4487.665390485297,31.625724989651644,7.671518806990093e-8,12
2.5,LQ,rm.2.5_fc.LQ,0.8226584577114427,0.957,0.13595223374760534,0.07599530206657425,0.7761394077461821,0.1271810538750154,0.68475,0.35970948926413754,0.255,0.23057898140695018,0.02,0.0282842712474619,4487.804050130194,31.76438463454815,7.157672029014372e-8,11
3,LQ,rm.3_fc.LQ,0.8224012437810946,0.966,0.13798267567876363,0.07691810875141467,0.7778617521133324,0.12866390221217616,0.69625,0.36180231711069327,0.25,0.22181073012818836,0.02,0.0282842712474619,4489.05498513989,33.0153196442443,3.829435057118677e-8,11
3.5,LQ,rm.3.5_fc.LQ,0.8219952736318408,0.97,0.1389110274077247,0.07720542561991371,0.7791018350355956,0.12929435032477918,0.6990000000000001,0.3355115497266823,0.245,0.21315096371664224,0.025,0.03785938897200183,4490.51556766843,34.47590217278412,1.844901748767568e-8,11
4,LQ,rm.4_fc.LQ,0.821429104477612,0.976,0.13950915055835258,0.07760256262652716,0.7803431431183854,0.129541470586638,0.69375,0.3030295640142504,0.23500000000000001,0.21439838307848003,0.025,0.03785938897200183,4492.166116707757,36.12645121211153,8.082785851452035e-9,11
0.5,H,rm.0.5_fc.H,0.8909002487562189,0.99,0.2801540392862579,0.12370616111921481,0.6281608441810748,0.10536761931537304,0.31575,0.29603307810670976,0.6881372549019608,0.24566999930444666,0.23490196078431372,0.3320987517748469,4498.111850251312,42.07218475566606,4.1348659845288144e-10,72
1,H,rm.1_fc.H,0.8750410447761194,0.976,0.2157759969534639,0.11475607076126206,0.6795668206448809,0.0948247515086858,0.4115,0.49004387558666623,0.5284313725490196,0.22380409679196867,0.09,0.10519822558706333,4457.557790214997,1.5181247193513627,0.2646449946732308,49
1.5,H,rm.1.5_fc.H,0.8634723880597015,0.98,0.17258067824992737,0.1227130231704942,0.7105886248594802,0.09868648257848936,0.549,0.3958071921192607,0.4293137254901961,0.28495485521697334,0.05,0.07393691004272945,4456.039665495646,0,0.5653537519094358,37
2,H,rm.2_fc.H,0.854510696517413,0.986,0.15232341724202428,0.10691666720613349,0.7466243065246116,0.11633290322195215,0.60025,0.5321436992642745,0.34480392156862744,0.29256275266089726,0.04,0.06733003292241387,4492.483811205637,36.44414570999106,6.895640137514308e-9,40
2.5,H,rm.2.5_fc.H,0.8485987562189055,0.986,0.1384019050061416,0.10587146501833855,0.7678705860124095,0.12316573680144285,0.63025,0.599598963196791,0.3299019607843137,0.30013510990616415,0.025,0.05,4490.537958554707,34.498293059061325,1.824362443981426e-8,33
3,H,rm.3_fc.H,0.8426216417910448,0.975,0.13033973058137313,0.10826376579547202,0.7826314190384559,0.12752265087549175,0.6965,0.4819657664191514,0.285,0.2954657340538831,0.005,0.01,4499.5586729180295,43.519007422383766,2.0058012052661385e-10,30
3.5,H,rm.3.5_fc.H,0.8378370646766169,0.972,0.11934302415967746,0.11537058417335937,0.7940106221941776,0.1289442739465183,0.76,0.34790899193131913,0.23500000000000001,0.29091808698211485,0.005,0.01,4488.417837956471,32.378172460825226,5.266104364093148e-8,20
4,H,rm.4_fc.H,0.8357519900497512,0.972,0.11296592469475794,0.12824684982514642,0.7968079183107669,0.13455133264632638,0.7885,0.31102572240893517,0.225,0.29546573405388316,0.005,0.01,4500.846431128567,44.80676563292127,1.0535490152608088e-10,21
0.5,LQH,rm.0.5_fc.LQH,0.8898305970149254,0.991,0.27154086953390255,0.13505308131329233,0.63521818653841855,0.11583392141388928,0.3695,0.3477954379612629,0.683235294117647,0.24881425839122923,0.24490196078431373,0.3376766628637959,4500.112353998217,44.07268850257151,1.520749103137538e-10,72
1,LQH,rm.1_fc.LQH,0.8744838308457712,0.974,0.20800251463685468,0.140835271592317,0.6923924935681187,0.13497390435516377,0.35425,0.5557663627820597,0.5045098039215686,0.29365008587345437,0.095,0.13796134724383252,4459.161987160549,3.122321664903211,0.1186633879709857,50
1.5,LQH,rm.1.5_fc.LQH,0.8621251243781094,0.973,0.20935799184275108,0.10020553226484787,0.7133603324432188,0.15153731054101358,0.33775,0.5616863745306034,0.465,0.33521137609971813,0.060000000000000005,0.09521904571390467,4461.246981913336,5.207316417689981,0.04183751545533618,39
2,LQH,rm.2_fc.LQH,0.8524415422885572,0.971,0.19309033918773902,0.08459691622531755,0.7349644220973808,0.14812372945073937,0.455,0.5928130677821917,0.375,0.3112876483254676,0.05,0.07571877794400365,4464.222018124392,8.18235262874623,0.009452462886152826,31
2.5,LQH,rm.2.5_fc.LQH,0.8448669154228856,0.962,0.17364742486182827,0.08102260144734888,0.7540043337619554,0.1415959236378005,0.474,0.5629695077592273,0.33499999999999996,0.29816103031751146,0.045000000000000005,0.0660807586719967,4481.255031208241,25.215365712595485,1.89179112877147e-6,30
3,LQH,rm.3_fc.LQH,0.8398320895522388,0.951,0.163201567449342,0.08348835977365286,0.7664417261816919,0.13975913676297766,0.54625,0.5717886410204386,0.31,0.3109126351029605,0.035,0.04725815626252609,4485.260929003248,29.22126350760209,2.5527220565196585e-7,27
3.5,LQH,rm.3.5_fc.LQH,0.835744527363184,0.962,0.1587982270847824,0.0834395504821717,0.7721460072802468,0.1391179537666466,0.67225,0.30466962981782963,0.3,0.29257477676655586,0.030000000000000002,0.04760952285695234,4486.5927899331145,30.553124437468796,1.3115764334475429e-7,24
4,LQH,rm.4_fc.LQH,0.8336022388059702,0.965,0.15789171019820494,0.08090951051937557,0.7743843109856327,0.13852872564174287,0.6757500000000001,0.29568719395108517,0.275,0.24785748593361737,0.030000000000000002,0.04760952285695234,4482.668248096603,26.62858260095709,9.332479323746683e-7,20
