"","bio3","bio4","bio9","bio12","bio14","bio15","elevation","pop_density","slope","aspect"
"R. tomentosum",0.967742816769302,15.932929624656,40.3639210301037,4.13486365767108,0.521428114190599,13.6305666396669,19.4880416047873,1.22397242467896,2.68699343679107,1.04954065068514
"V. vitis-idaea",0.773443064115652,14.3362141867371,41.1595381703187,0.0178996950220842,0.431494636316122,20.5540226860225,17.1214794080937,4.06298822769466,0.941492341006702,0.601427584672798
"P. pumila",18.6029867603803,1.37836501707096,4.78691279218479,12.6225538652578,7.2881648922925,17.8140278005876,36.1324040664684,0.0852627855797463,0.000845166844429514,1.28847685333337
"V. uliginosum",2.05195672158664,11.5351188041931,21.537472792732,2.21508416252142,8.10050851421638,9.07995548338543,31.1560849580477,6.75057978002974,7.57090041535421,0.0023383679333155
"T. ledebourii",2.59944075907577,25.4508965212873,3.476821028515,25.3911272409876,14.0250831320186,0.48425643981503,16.88180946275,0.311897849026066,10.4012124908296,0.977455075694943
"H. minor",0,0.0699795133231041,30.2955280355454,30.5295740908668,2.12655626996357,0,0.15221536495428,3.37985140474199,2.3659338865414,31.0803614340635
