"DV","Effect","df1","df2","F_val","p_val","sig"
"Lost (丧失)","species_cn",5,10,10.4472987311859,0.00101287090201961,"**"
"Lost (丧失)","scenario",1.02406904760693,2.04813809521385,6.41806926923097,0.124251757225958,"ns"
"Lost (丧失)","species_cn:scenario",10,20,5.45535866296028,0.000634955016572594,"***"
"Stable (保留)","species_cn",5,10,16.0424033944132,0.000169785707112287,"***"
"Stable (保留)","scenario",1.02406904760691,2.04813809521383,6.41806926923072,0.124251757225964,"ns"
"Stable (保留)","species_cn:scenario",10,20,5.45535866296039,0.000634955016572506,"***"
"Gained (扩张)","species_cn",5,10,10.1146635694523,0.00115241487212374,"**"
"Gained (扩张)","scenario",1.03882641334492,2.07765282668984,0.0583973487023158,0.839064126730169,"ns"
"Gained (扩张)","species_cn:scenario",10,20,0.969086823435556,0.497919788419502,"ns"
