rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
0.5,H,rm.0.5_fc.H,0.8357894456289978,0.995,0.10893694533313869,0.0832147897505996,0.7846422603499035,0.09787327554306335,0.6955,0.45929329772307076,0.15732290308561495,0.16232472176217605,0.012766188613646241,0.014741391791283675,10294.295897166752,36.091955894422426,1.4515828871568852e-8,82
1,H,rm.1_fc.H,0.8283359275053305,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10281.054550931958,22.85060965962839,1.0893404765732157e-5,58
1.5,H,rm.1.5_fc.H,0.8228990405117271,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10333.841856273575,75.63791500124535,3.754446575017145e-17,62
2,H,rm.2_fc.H,0.8157753731343284,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10334.915978715284,76.71203744295417,2.1943363838931063e-17,44
2.5,H,rm.2.5_fc.H,0.8079350746268656,0.989,0.11573989358794748,0.07433899124500135,0.7900633371007215,0.11239924054299048,0.7494999999999999,0.2854207420633616,0.12516297262059972,0.19953264228197767,0.00423728813559322,0.00847457627118644,10369.778357468236,111.57441619590645,5.902470768025254e-25,39
3,H,rm.3_fc.H,0.7996994669509595,0.994,0.11865314902582169,0.08481287452217588,0.7859844792722541,0.1197611662251907,0.78825,0.1670855569261848,0.135901057511227,0.17910854581767255,0.006355932203389831,0.012711864406779662,10404.230479611371,146.0265383390415,1.949173851453428e-32,35
3.5,H,rm.3.5_fc.H,0.7940184434968017,0.996,0.11994967226350955,0.09755542347827309,0.7844768233826125,0.1271157327374905,0.78575,0.1485,0.14232942199043894,0.1720801653117552,0.006355932203389831,0.012711864406779662,10430.049705528021,171.8457642556914,4.822551845645943e-38,32
4,H,rm.4_fc.H,0.7889377398720683,0.998,0.13043055950694182,0.09366304439327777,0.7827222054729275,0.13355099110197108,0.7665,0.17048460341039595,0.15518615094886282,0.16497061565245613,0.006355932203389831,0.012711864406779662,10440.817579333036,182.61363806070585,2.2134148412381044e-40,24
0.5,LQH,rm.0.5_fc.LQH,0.834876012793177,0.996,0.10929274131422445,0.07784964994541473,0.7889105345075061,0.09495415944108239,0.773,0.3361933967227792,0.14245617847312764,0.14837734022803106,0.010629436476894105,0.012736191580566086,10309.878049407636,51.6741081353066,6.000956414065587e-12,86
1,LQH,rm.1_fc.LQH,0.8277563965884861,0.996,0.10277095903993655,0.0781436243349907,0.8002446554327438,0.09190165851240234,0.8195,0.23398789142460627,0.11685136897001304,0.14235694083033035,0.00211864406779661,0.00423728813559322,10258.20394127233,0,0.9979539067024675,49
1.5,LQH,rm.1.5_fc.LQH,0.8231436034115138,0.995,0.10985236582525457,0.060887359204700967,0.8063334024298502,0.0940004221832993,0.8460000000000001,0.19644676971977248,0.10189410401274808,0.1432226155160635,0.00211864406779661,0.00423728813559322,10270.594676384215,12.390735111885078,0.0020346819843449,39
2,LQH,rm.2_fc.LQH,0.8183037313432836,0.996,0.11700257587648025,0.0509570494376513,0.810487215581061,0.10003927072749327,0.852,0.20560966254856147,0.10187599594379254,0.14814803994039538,0.00211864406779661,0.00423728813559322,10287.20365993137,28.99971865904081,5.033865268397152e-7,31
2.5,LQH,rm.2.5_fc.LQH,0.8126715351812367,0.993,0.1220870288740444,0.04630839782140366,0.8125292926721431,0.1058200251737918,0.85825,0.15939965495571187,0.09972113573808489,0.15485733024157985,0.00211864406779661,0.00423728813559322,10318.921521018265,60.71757974593493,6.523122938372298e-14,29
3,LQH,rm.3_fc.LQH,0.806200959488273,0.985,0.12378999473812552,0.05043276637964073,0.810723357304957,0.10962642823977665,0.8685,0.13369243309427298,0.09544763146458062,0.1577911970406975,0.00211864406779661,0.00423728813559322,10359.492506800734,101.28856552840443,1.0105968453007878e-22,30
3.5,LQH,rm.3.5_fc.LQH,0.798502025586354,0.984,0.12255101335106178,0.055238634940819854,0.8085888675458557,0.11052334478778826,0.8647499999999999,0.10177876333826553,0.09119223526003187,0.15520741009828493,0.00211864406779661,0.00423728813559322,10386.501907438826,128.29796616649583,1.378989977971983e-28,25
4,LQH,rm.4_fc.LQH,0.7937888059701492,0.988,0.11778619957095945,0.06576147304673752,0.8040786864330405,0.11159227178373281,0.8554999999999999,0.09690717207719975,0.093328987396784,0.15358381787176445,0.00211864406779661,0.00423728813559322,10396.774842746318,138.57090147398776,8.106279079868547e-31,18
